file_name,source_type,scene_id,is_duplicate_of,gallery_selected_file,width,height,orientation,exif_time,post_time,post_name,status,usage,author_decision,notes
17904096042060006.jpg,INSTAGRAM,scene_d06_001,IMG_20241101_190420_715.jpg,17904096042060006.jpg,1440,1440,Landscape,,2024-11-01 16:18:35,Post #14 卡爾頓花園,CONFIRMED,IG_CARD,APPROVED,Post #14 卡爾頓花園 現場照片第 9 張
IMG_20241101_190420_715.jpg,MOBILE_DEVICE_TAKE_DUPLICATE,scene_d06_001,17904096042060006.jpg,17904096042060006.jpg,1440,1440,Landscape,,2024-11-01 16:18:35,Post #14 卡爾頓花園,DUPLICATE_SOURCE,MAPPED_TO_IG_SCENE,APPROVED,手機端同源副本 (與 17904096042060006.jpg 相同畫面，不重複建立 Slide)
17930336825840886.jpg,INSTAGRAM,scene_d06_002,IMG_20241101_183450_892.jpg,17930336825840886.jpg,1440,1440,Landscape,,2024-11-01 15:35:10,Post #11 蘇瑪酒莊,CONFIRMED,IG_CARD,APPROVED,Post #11 蘇瑪酒莊 現場照片第 6 張
IMG_20241101_183450_892.jpg,MOBILE_DEVICE_TAKE_DUPLICATE,scene_d06_002,17930336825840886.jpg,17930336825840886.jpg,1440,1440,Landscape,,2024-11-01 15:35:10,Post #11 蘇瑪酒莊,DUPLICATE_SOURCE,MAPPED_TO_IG_SCENE,APPROVED,手機端同源副本 (與 17930336825840886.jpg 相同畫面，不重複建立 Slide)
17937460670808440.jpg,INSTAGRAM,scene_d06_003,IMG_20241101_185645_763.jpg,17937460670808440.jpg,1440,1440,Landscape,,2024-11-01 15:56:47,Post #13 大草原與巧克力工廠,CONFIRMED,IG_CARD,APPROVED,Post #13 大草原與巧克力工廠 現場照片第 6 張
IMG_20241101_185645_763.jpg,MOBILE_DEVICE_TAKE_DUPLICATE,scene_d06_003,17937460670808440.jpg,17937460670808440.jpg,1440,1440,Landscape,,2024-11-01 15:56:47,Post #13 大草原與巧克力工廠,DUPLICATE_SOURCE,MAPPED_TO_IG_SCENE,APPROVED,手機端同源副本 (與 17937460670808440.jpg 相同畫面，不重複建立 Slide)
17942028050910558.jpg,INSTAGRAM,scene_d06_004,IMG_20241101_183450_690.jpg,17942028050910558.jpg,1440,1440,Landscape,,2024-11-01 15:35:10,Post #11 蘇瑪酒莊,CONFIRMED,IG_CARD,APPROVED,Post #11 蘇瑪酒莊 現場照片第 1 張
IMG_20241101_183450_690.jpg,MOBILE_DEVICE_TAKE_DUPLICATE,scene_d06_004,17942028050910558.jpg,17942028050910558.jpg,1440,1440,Landscape,,2024-11-01 15:35:10,Post #11 蘇瑪酒莊,DUPLICATE_SOURCE,MAPPED_TO_IG_SCENE,APPROVED,手機端同源副本 (與 17942028050910558.jpg 相同畫面，不重複建立 Slide)
17942537414909610.jpg,INSTAGRAM,scene_d06_005,IMG_20241101_185645_487.jpg,17942537414909610.jpg,1440,1440,Landscape,,2024-11-01 15:56:47,Post #13 大草原與巧克力工廠,CONFIRMED,IG_CARD,APPROVED,Post #13 大草原與巧克力工廠 現場照片第 1 張
IMG_20241101_185645_487.jpg,MOBILE_DEVICE_TAKE_DUPLICATE,scene_d06_005,17942537414909610.jpg,17942537414909610.jpg,1440,1440,Landscape,,2024-11-01 15:56:47,Post #13 大草原與巧克力工廠,DUPLICATE_SOURCE,MAPPED_TO_IG_SCENE,APPROVED,手機端同源副本 (與 17942537414909610.jpg 相同畫面，不重複建立 Slide)
17945813756770813.jpg,INSTAGRAM,scene_d06_006,,NONE,1440,1440,Landscape,,2024-11-01 15:56:47,Post #13 大草原與巧克力工廠,EXCLUDED,EXCLUDED,EXCLUDED_AUTHOR_SELFIE,作者指定排除：草原大臉自拍，不在任何頁面或燈箱公開
